Binary,ASCII,Binary,ASCII,Binary,ASCII,Binary,ASCII
000 0000,Ctrl- @,010 0000,sp,100 0000,@,110 0000,`
000 0001,Ctrl- A,010 0001,!,100 0001,A,110 0001,a
000 0010,Ctrl- B,010 0010,"""",100 0010,B,110 0010,b
000 0011,Ctrl- C,010 0011,#,100 0011,C,110 0011,c
000 0100,Ctrl- D,010 0100,$,100 0100,D,110 0100,d
000 0101,Ctrl- E,010 0101,%,100 0101,E,110 0101,e
000 0110,Ctrl- F,010 0110,&,100 0110,F,110 0110,f
000 0111,Ctrl- G,010 0111,  ',100 0111,G,110 0111,g
000 1000,Ctrl- H,010 1000,(,100 1000,H,110 1000,h
000 1001,Ctrl- I,010 1001,),100 1001,I,110 1001,i
000 1010,Ctrl- J,010 1010,*,100 1010,J,110 1010,j
000 1011,Ctrl- K,010 1011,+,100 1011,K,110 1011,k
000 1100,Ctrl- L,010 1100,",",100 1100,L,110 1100,l
000 1101,Ctrl- M,010 1101,-,100 1101,M,110 1101,m
000 1110,Ctrl- N,010 1110,.,100 1110,N,110 1110,n
000 1111,Ctrl- O,010 1111,/,100 1111,O,110 1111,o
001 0000,Ctrl- P,011 0000,0,101 0000,P,111 0000,p
001 0001,Ctrl- Q,011 0001,1,101 0001,Q,111 0001,q
001 0010,Ctrl- R,011 0010,2,101 0010,R,111 0010,r
001 0011,Ctrl- S,011 0011,3,101 0011,S,111 0011,s
001 0100,Ctrl- T,011 0100,4,101 0100,T,111 0100,t
001 0101,Ctrl- U,011 0101,5,101 0101,U,111 0101,u
001 0110,Ctrl- V,011 0110,6,101 0110,V,111 0110,v
001 0111,Ctrl- W,011 0111,7,101 0111,W,111 0111,w
001 1000,Ctrl- X,011 1000,8,101 1000,X,111 1000,x
001 1001,Ctrl- Y,011 1001,9,101 1001,Y,111 1001,y
001 1010,Ctrl- Z,011 1010,:,101 1010,Z,111 1010,z
001 1011,Ctrl- [,011 1011,;,101 1011,[,111 1011,{
001 1100,Ctrl- \,011 1100,<,101 1100,\,111 1100,|
001 1101,Ctrl- ],011 1101,  =,101 1101,],111 1101,}
001 1110,Ctrl- ^,011 1110,>,101 1110,^,111 1110,~
001 1111,Ctrl- _,011 1111,?,101 1111,_,111 1111,del
